,term,definition
0,about that,being passionate about or associated with something.
1,aggy,aggressive
2,aight ,alright 
3,ak-matic,AK47 ASSUALT RIFFLE
4,asf,emphasis
5,as u should,encouragement and show of approval
6,ate,one’s flawless performance
7,ate and left no crumbs,"singing, fashion, makeup, and/or other performances"
8,ax,to ask
9,aye,interjection
10,back on my bs,returns to their previous behavior
11,bae,b
12,bank,similar to being rich
13,the bar is on the floor,expectation that is considered low
14,basic,mainstream
15,beef,conflict or disagreement
16,been,already knowing of something
17,if,without have
18,beat,being glammed up
19,bet,"yes, or okay"
20,bet,in challenge
21,beyotch,b word
22,bffr,be effing for real
23,bip,good hair
24,biscuit,gun
25,bizzack,being in the back
26,boutta,about to
27,boi,boy
28,bomb,describe
29,boo,endearment
30,booked,run away
31,bop,good music
32,boss,describe something as great
33,brizzle,the b word
34,bruh,bro
35,buckets,when someone scores
36,bumpin,has a nice beat
37,bussin,food
38,"but blm, right?",a black person's contradicting actions and/or ideas
39,cap,lying
40,carry,benefitting their team the most
41,cat,dude
42,catch these hands,call out for a fight
43,cheesin,literal cheesing smile
44,chile,child
45,chill,being calm
46,clap emoji in between words,"in text,"
47,coin,money
48,come for,"attack, or judge, someone"
49,cop,get
50,cray cray,crazy
51,crib,one's house or living space
52,cuddy,homie
53,cuh,cousin
54,da hell,the hell?
55,dap,greeting/handshake
56,deadass,serious(ly)
57,dig it,show enjoyment or liking of something
58,dime,top quality
59,din,dinner
60,dip,leave
61,done,"completed, perfective"
62,dope,cool
63,dough,money
64,down bad,desperately at their lowest point
65,drag,call out someone
66,drip,style
67,drop,releasing
68,dry,boring
69,errybody,everybody
70,errybody and they mama,audience is larger than normal
71,extra,"describe someone, or something as over the top"
72,fam,homie
73,that's facts,respond to someone who is telling true statements
74,feeling some type of way,describe or emphasis
75,fierce,compliment something that looks high quality
76,filthy,describe something cool
77,fire,"very cool, catchy, or nice sounding"
78,fleek,"to look on point, or look nice"
79,flex,showing off
80,fo sho,"""for sure"""
81,fuck outta here,disbelief
82,fuck with,enjoying
83,g,og or friend (of any proximity)
84,gag,describe being taken aback by something
85,game too strong,describe something as overpowering
86,ghetto,someone's behavior
87,git box,guitar
88,giving me life,describe the feeling of being inspired
89,give them the smoke/work,show off someone's skills
90,gizzo,to go
91,gon,going to
92,go off,express or passionately speak on something
93,goin through it,"going through tribulations, or struggles, in their life"
,going through it,"(variant) through tribulations, or struggles, in their life"
94,got this in the bag,encouragement
95,good looks,describe something as impressive
96,got me fucked up,"show dissatisfaction, and/or disapproval"
97,have a seat,mind their business
98,have time,"expresses they have the patience, or time, to do or discuss something"
99,headass,describe someone who is ignorant
100,hella,describe the amount of something
101,heated,angry
102,high cappin',lies often or with convoluted lies
103,hit different,disparate
104,hit,acts similarly to a verb of someone using something
105,homies,"buddies, friends"
106,hummin',doesn't smell good
107,hunnid,hundred
108,hunty,demeaning term
109,hype,get excited
110,ice,jewelry
111,i feel you,"""i relate"""
112,ight,alright
113,i got the time of day,"tell someone that they ""have time"""
114,i know that's right,"agreement to, or with, something"
115,i know u lyin,"disbelief, and/or skepticism"
116,it's giving,there's a resemblance
117,imma,"""im going to"""
118,imma,long hair
119,it's over,"""game over"""
120,it's very much,severity of something
121,ion,"""i dont"""
122,it's the ... for me,"pointing out something that someone has, which may prompt conversation, and/or interest"
123,keep the same energy,same attitude/mindset
124,killin it,do well in something
,killing it,(variant) do well in something
125,kush,marijuana
126,laid,state of something being laid flat
127,let me put you on,recommending something
128,link,meet up
129,lit,get turnt
130,lowkey,quiet/secretive
131,mad,"""very"""
