,date,content,url,hashtags,topic
0,2015-01-29 23:26:09+00:00,It's a trip that #OscarsSoWhite  named their nominees on MLK Day and will have their broadcast in February during Black History Month. smdh,https://twitter.com/RALPHREMINGTON/status/560941999885664256,['OscarsSoWhite'],oscars
1,2015-01-29 23:22:01+00:00,#Oscarssowhite calls out racial disparity in Hollywood today http://t.co/88bEKFAyuQ via @NaomiJayHarris http://t.co/TcNry2KQoO,https://twitter.com/thedbk/status/560940962357080065,['Oscarssowhite'],oscars
2,2015-01-29 23:14:42+00:00,#OscarsSoWhite  First all white group of acting nominees since 1998 mmh ARE YOU bragging or complaining?  No fun without #joanrivers ANYWAY,https://twitter.com/MeYouAndLaughs/status/560939118231044097,"['OscarsSoWhite', 'joanrivers']",oscars
3,2015-01-29 21:38:42+00:00,RT @JeffJSays: #ThatADHDShow 002:#OscarsSoWhite feat @PiaGlenn http://t.co/Si2Ki4XSkW music by @_WordSmiff_#BOEIII,https://twitter.com/seveneighteen_/status/560914962181537792,"['ThatADHDShow', 'OscarsSoWhite']",oscars
4,2015-01-29 20:27:55+00:00,"How will we know when Hollywood,TV and movies are diverse enough? #OscarsSowhite",https://twitter.com/CrowdPleeza/status/560897145281449984,['OscarsSowhite'],oscars
5,2015-01-29 20:08:28+00:00,RT @JeffJSays: #ThatADHDShow 002: #OscarsSoWhite feat @PiaGlennhttp://t.co/BBrbV8D99e music by @_WordSmiff_ #BOEIII,https://twitter.com/Amira320/status/560892253494063104,"['ThatADHDShow', 'OscarsSoWhite', 'BOEIII']",oscars
6,2015-01-29 19:42:25+00:00,--&gt; RT @JeffJSays: #ThatADHDShow 002: #OscarsSoWhite feat @PiaGlennhttp://t.co/BBrbV8D99e music by @_WordSmiff_ #BOEIII,https://twitter.com/mrmess/status/560885698320814081,"['ThatADHDShow', 'OscarsSoWhite', 'BOEIII']",oscars
7,2015-01-29 19:27:42+00:00,"@nubianbrotha @violadavis @TheAcademy the problem. Instead of #OscarsSoWhite, I just think it should be #MoviesSoWhite or #HollywoodSoWhite",https://twitter.com/ClayBroomes/status/560881993140166656,"['OscarsSoWhite', 'MoviesSoWhite', 'HollywoodSoWhite']",oscars
8,2015-01-29 19:24:13+00:00,Watch Ava DuVernay's Perfect Response To Her 'Selma' Oscar Snub http://t.co/FCiSQChaYd via @HuffPostEnt #OscarsSoWhite,https://twitter.com/MenopauseBarB/status/560881115662008320,['OscarsSoWhite'],oscars
9,2015-01-29 19:19:53+00:00,Why do I have a feeling that next year's Oscars will have TONS of POC nominees? #OscarsSoWhite,https://twitter.com/jrc2666/status/560880027613396992,['OscarsSoWhite'],oscars
